,verylow,low,medium,high,extreme
901,7167,1969,48,0,0
902,5576,3605,3,0,0
903,3994,5097,93,0,0
904,5487,3458,239,0,0
905,3381,4038,1765,0,0
906,2985,3161,2989,49,0
907,4333,1596,1923,1141,191
908,326,3921,1939,2620,378
909,563,3288,2491,2594,248
910,1667,4890,2627,0,0
911,6003,2528,653,0,0
912,7010,2174,0,0,0
913,6260,2851,73,0,0
914,6936,2248,0,0,0
915,9178,6,0,0,0
916,5367,3586,231,0,0
917,1850,7101,233,0,0
918,903,3996,4250,35,0
919,2067,3356,3410,351,0
920,4237,1641,3051,255,0
921,3132,2358,2369,1250,75
922,2957,2601,2590,1036,0
923,5406,3574,204,0,0
924,6560,2624,0,0,0
925,5605,3579,0,0,0
926,4210,4916,58,0,0
927,5871,2676,637,0,0
928,8358,826,0,0,0
929,3239,5864,81,0,0
930,1641,6477,1066,0,0
931,4422,3274,1473,15,0
932,1565,3256,2959,1389,15
933,2734,2449,1707,2290,4
934,1066,3172,2761,2181,4
935,5746,3437,1,0,0
936,7204,1980,0,0,0
937,8619,565,0,0,0
938,5720,2545,919,0,0
939,2056,6346,782,0,0
940,3766,4512,906,0,0
941,3144,5567,473,0,0
942,806,2297,5607,474,0
943,3853,1571,2523,1237,0
944,3102,1841,1821,2420,0
945,3509,1674,1360,2535,106
946,2742,2501,2004,1920,17
947,3809,3465,1910,0,0
948,5241,3866,77,0,0
949,8748,411,25,0,0
950,7471,1713,0,0,0
951,5803,3081,300,0,0
952,4060,4999,125,0,0
953,3637,4472,1075,0,0
954,625,3403,3773,1383,0
955,3661,2017,2966,535,5
956,2957,1517,2569,1732,409
957,2265,2425,2336,2115,43
958,5680,3096,408,0,0
959,5171,4013,0,0,0
960,3446,5391,347,0,0
961,8549,635,0,0,0
962,8144,1040,0,0,0
963,8716,468,0,0,0
964,4336,4834,14,0,0
965,2407,5968,809,0,0
966,4568,3781,835,0,0
967,6253,2174,756,1,0
968,5048,2765,1279,92,0
969,1597,3935,3268,384,0
970,3484,3724,1739,237,0
971,2728,4676,1780,0,0
972,5136,4021,27,0,0
973,4482,4699,3,0,0
974,8718,466,0,0,0
975,3750,5434,0,0,0
976,5379,3724,81,0,0
977,1350,6751,1083,0,0
978,3875,5268,41,0,0
979,2626,2564,3337,589,68
980,2293,2661,2902,1266,62
981,168,1778,3253,3522,463
982,2414,4352,2418,0,0
983,5418,3600,166,0,0
984,6289,2862,33,0,0
985,5916,3267,1,0,0
986,8012,1172,0,0,0
987,7726,1458,0,0,0
988,8007,1172,5,0,0
989,3355,5499,330,0,0
990,4739,2175,2043,227,0
991,3838,3369,1583,378,16
992,3840,1775,1947,1491,131
993,3030,2817,1430,1737,170
994,4580,2105,2415,84,0
995,5415,3614,155,0,0
996,3052,5874,258,0,0
997,4419,3886,879,0,0
998,5659,3520,5,0,0
999,7441,1743,0,0,0
1000,3830,5110,244,0,0
1001,1609,5879,1683,13,0
1002,57,4744,4307,76,0
1003,2124,2771,2824,1350,115
1004,2080,1545,1455,3266,838
1005,495,3034,2081,2976,598
1006,792,3120,1965,3307,0
1007,3997,4543,644,0,0
1008,6843,2112,229,0,0
1009,6087,2717,380,0,0
1010,7290,1894,0,0,0
1011,6314,2870,0,0,0
1012,5088,3960,136,0,0
1013,4947,3415,822,0,0
1014,2088,3916,2640,540,0
1015,2627,2335,2649,1549,24
1016,3830,1865,2088,1286,115
1017,3034,2978,2359,813,0
1018,5733,2945,506,0,0
1019,6530,2645,9,0,0
1020,8660,524,0,0,0
1021,8557,413,214,0,0
1022,4974,3963,247,0,0
1023,8948,236,0,0,0
1024,4509,4579,96,0,0
1025,7674,1510,0,0,0
1026,5420,3674,90,0,0
1027,1789,4339,2909,147,0
1028,3065,1253,2671,2090,105
1029,1059,2231,2483,2759,652
1030,1651,4061,3471,1,0
1031,5454,3608,122,0,0
1032,5366,3745,73,0,0
1033,8413,771,0,0,0
1034,7940,1028,216,0,0
1035,6147,3037,0,0,0
1036,2059,6957,168,0,0
1037,6423,2642,119,0,0
1038,845,3586,4171,577,5
1039,958,5907,2319,0,0
1040,2326,4198,2609,51,0
1041,1817,3109,3097,1160,1
1042,732,2488,4148,1791,25
1043,2903,4673,1608,0,0
1044,4590,4354,240,0,0
1045,4921,4082,181,0,0
1046,6653,2522,9,0,0
1047,4768,3637,779,0,0
1048,5389,3732,63,0,0
1049,3902,4804,478,0,0
1050,2609,3372,2152,1051,0
1051,2009,4818,1580,767,10
1052,3581,1547,2352,1450,254
1053,1652,2412,3656,1452,12
1054,2474,2903,2595,1212,0
1055,2950,3841,2122,271,0
1056,6054,3085,45,0,0
1057,5048,3927,209,0,0
1058,6399,2777,8,0,0
1059,4740,4207,237,0,0
1060,4762,4414,8,0,0
1061,1008,7488,688,0,0
1062,4129,3639,1413,3,0
1063,3589,1587,2466,1396,146
1064,1092,2461,3145,2337,149
1065,1736,2829,3457,1162,0
1066,2505,3011,3303,365,0
1067,3667,4365,1151,1,0
1068,5500,3680,4,0,0
1069,5168,3846,170,0,0
1070,6320,2864,0,0,0
1071,8726,458,0,0,0
1072,6713,2471,0,0,0
1073,2041,5528,1615,0,0
1074,1255,3930,3671,328,0
1075,2466,1227,3160,2062,269
1076,1481,1334,1462,3981,926
1077,246,1798,1834,3923,1383
1078,725,2736,5322,401,0
